entry_idx,exit_idx,entry_time,exit_time,side,entry_price,exit_price,size,pnl,exit_reason,regime_at_entry
1502,1506,2024-09-28 05:00:00+00:00,2024-09-28 06:00:00+00:00,long,0.5891,0.5868038421604235,57204.51388950255,-164.9184215658226,sl,RANGE
1506,1512,2024-09-28 06:00:00+00:00,2024-09-28 07:30:00+00:00,long,0.5867,0.5902956722741622,53138.14690283142,159.7001433694611,tp,RANGE
1555,1567,2024-09-28 18:15:00+00:00,2024-09-28 21:15:00+00:00,short,0.6239,0.6134211009923688,18601.484865381954,183.51253797010256,tp,TREND_DOWN
1567,1603,2024-09-28 21:15:00+00:00,2024-09-29 06:15:00+00:00,short,0.6163,0.6221295272976727,22881.248424501573,-147.62196256177864,sl,TREND_DOWN
1662,1682,2024-09-29 21:00:00+00:00,2024-09-30 02:00:00+00:00,short,0.6426,0.6502670218455661,16975.612095251327,-141.1910694973329,sl,TREND_DOWN
1731,1768,2024-09-30 14:15:00+00:00,2024-09-30 23:30:00+00:00,short,0.6249,0.6121818955642072,14991.667680659659,181.48796769091425,tp,TREND_DOWN
1775,1800,2024-10-01 01:15:00+00:00,2024-10-01 07:30:00+00:00,short,0.6207,0.6267548863647375,21561.559118766185,-144.06660284602773,sl,TREND_DOWN
1803,1811,2024-10-01 08:15:00+00:00,2024-10-01 10:15:00+00:00,short,0.6274,0.6324690174817118,25133.82396461029,-143.30015800733307,sl,TREND_DOWN
1816,1824,2024-10-01 11:30:00+00:00,2024-10-01 13:30:00+00:00,short,0.6312,0.6241945679074493,26598.447255177172,169.73100972197997,tp,TREND_DOWN
2071,2079,2024-10-04 03:15:00+00:00,2024-10-04 05:15:00+00:00,short,0.5232,0.529514379991895,20157.36338885027,-137.95486584903114,sl,TREND_DOWN
2080,2085,2024-10-04 05:30:00+00:00,2024-10-04 06:45:00+00:00,short,0.5288,0.5207801325087111,23250.613848568526,174.3583843956801,tp,TREND_DOWN
2086,2091,2024-10-04 07:00:00+00:00,2024-10-04 08:15:00+00:00,short,0.5215,0.5266904421189442,24574.495655145874,-140.49564928174073,sl,TREND_DOWN
2092,2114,2024-10-04 08:30:00+00:00,2024-10-04 14:00:00+00:00,short,0.527,0.5197288003270655,25680.687766353814,173.38241544306507,tp,TREND_DOWN
2140,2350,2024-10-04 20:30:00+00:00,2024-10-07 01:00:00+00:00,short,0.5337,0.5390667218415439,23791.664624085246,-140.5085408408262,sl,TREND_DOWN
2353,2355,2024-10-07 01:45:00+00:00,2024-10-07 02:15:00+00:00,long,0.5391,0.5440531972585112,37738.99462381178,166.396664023226,tp,TREND_UP
2361,2383,2024-10-07 03:45:00+00:00,2024-10-07 09:15:00+00:00,short,0.5407,0.5345446927275217,31080.533172676754,174.69629781568304,tp,TREND_DOWN
2388,2395,2024-10-07 10:30:00+00:00,2024-10-07 12:15:00+00:00,short,0.5334,0.5378098870930484,29637.487965801713,-146.6373097073774,sl,TREND_DOWN
2402,2437,2024-10-07 14:00:00+00:00,2024-10-07 22:45:00+00:00,short,0.5414,0.533991337983897,25804.0634985077,177.39443870951482,tp,TREND_DOWN
2442,2503,2024-10-08 00:00:00+00:00,2024-10-08 15:15:00+00:00,short,0.5307,0.5230906553611834,25767.831261607946,182.59739692257563,tp,TREND_DOWN
2513,2522,2024-10-08 17:45:00+00:00,2024-10-08 20:00:00+00:00,short,0.5296,0.5338088373136168,31860.577469514308,-151.1034451022148,sl,TREND_DOWN
2532,2619,2024-10-08 22:30:00+00:00,2024-10-09 20:15:00+00:00,short,0.531,0.5253795383751217,34891.20463961037,177.7735517357947,tp,TREND_DOWN
2619,2621,2024-10-09 20:15:00+00:00,2024-10-09 20:45:00+00:00,long,0.527,0.5233448137907152,36638.72917054965,-153.09606648520517,sl,RANGE
2624,2681,2024-10-09 21:30:00+00:00,2024-10-10 11:45:00+00:00,short,0.5254,0.5296074925127997,31009.74836148546,-146.89627912793287,sl,TREND_DOWN
2711,2733,2024-10-10 19:15:00+00:00,2024-10-11 00:45:00+00:00,short,0.5279,0.5346808110298163,18760.22019741447,-137.24023778666233,sl,TREND_DOWN
2741,2761,2024-10-11 02:45:00+00:00,2024-10-11 07:45:00+00:00,long,0.5348,0.5403646929944096,33496.89722344279,168.29940872933742,tp,TREND_UP
